,original_640,original_320,quant_640,quant_320
150ep_bch_32,0.5742349999999999,0.45047,0.39174,0.22535
150ep_bch_8,0.55828,0.4332225,0.4194299999999999,0.270345
150ep_crop,0.5675399999999999,0.4545075,0.447535,0.3101125
150ep_degrees,0.5428925,0.41471,0.3207475,0.1927725
150ep_flipup,0.565555,0.4486025,0.4348825,0.2491475
150ep_hsv,0.5690624999999999,0.44234,0.44212,0.263825
150ep_imgsz_320,0.366485,0.449175,0.253805,0.27639
150ep_imgsz_400,0.478115,0.4772175,0.3423075,0.281925
150ep_imgsz_480,0.524375,0.4850625,0.39686,0.312795
150ep_lr0_half,0.5675399999999999,0.4545075,0.447535,0.3101125
150ep_normal,0.5675399999999999,0.4545075,0.447535,0.3101125
150ep_scale_trans_off,0.56797,0.2741949999999999,0.44418,0.1759225
180ep_degrees,0.552025,0.4271425,0.3404875,0.164315
180ep_normal,0.5715749999999999,0.4528299999999999,0.4528075,0.2903125
opt_150ep_RMSProp,0.0006925,0.0013824999999999,0.000745,0.0009175
opt_150ep_SGD,0.56379,0.4555575,0.398255,0.26483
opt_150ep_SGD_lr0,0.5698975,0.4549425,0.3732175,0.2644525
opt_150ep_SGD_lr0_lower,0.57324,0.462035,0.390155,0.262895
opt_150ep_SGD_mom_higher,0.5722550000000001,0.4426549999999999,0.4513574999999999,0.3142525
opt_150ep_SGD_mom_lower,0.5749,0.4588474999999999,0.40192,0.2479075
opt_150ep_adam,0.3908775,0.3017775,0.1341075,0.0871925
opt_150ep_adamX,0.518335,0.405105,0.334015,0.13895
opt_150ep_adamw,0.55294,0.42963,0.3256274999999999,0.1961425
opt_150ep_adamw_lr0,0.5563075,0.4375725,0.2107374999999999,0.1264499999999999
opt_150ep_nadam,0.4124525,0.3193125,0.2437925,0.148865
opt_150ep_radam,0.40576,0.301085,0.221805,0.1473325
