name,project,batch,crop_fraction,degrees,epochs,flipud,hsv_h,hsv_s,hsv_v,imgsz,lr0,momentum,optimizer,scale,translate
150ep_bch_32,long_runs,32,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_bch_8,long_runs,8,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_crop,long_runs,16,0.9,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_degrees,long_runs,16,1.0,45.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_flipup,long_runs,16,1.0,0.0,150,0.5,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_hsv,long_runs,16,1.0,0.0,150,0.0,0.05,0.85,0.6,640,0.01,0.937,auto,0.5,0.1
150ep_imgsz_320,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,320,0.01,0.937,auto,0.5,0.1
150ep_imgsz_400,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,400,0.01,0.937,auto,0.5,0.1
150ep_imgsz_480,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,480,0.01,0.937,auto,0.5,0.1
150ep_lr0_half,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.005,0.937,auto,0.5,0.1
150ep_normal,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
150ep_scale_trans_off,long_runs,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.0,0.0
180ep_degrees,long_runs,16,1.0,45.0,180,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
180ep_normal,long_runs,16,1.0,0.0,180,0.0,0.015,0.7,0.4,640,0.01,0.937,auto,0.5,0.1
opt_150ep_adam,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,Adam,0.5,0.1
opt_150ep_adamw,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,AdamW,0.5,0.1
opt_150ep_adamw_lr0,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.004,0.937,AdamW,0.5,0.1
opt_150ep_adamX,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,Adamax,0.5,0.1
opt_150ep_nadam,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,NAdam,0.5,0.1
opt_150ep_radam,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,RAdam,0.5,0.1
opt_150ep_SGD,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.937,SGD,0.5,0.1
opt_150ep_SGD_lr0,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.005,0.937,SGD,0.5,0.1
opt_150ep_SGD_lr0_lower,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.002,0.937,SGD,0.5,0.1
opt_150ep_SGD_mom_higher,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.95,SGD,0.5,0.1
opt_150ep_SGD_mom_lower,optimizers,16,1.0,0.0,150,0.0,0.015,0.7,0.4,640,0.01,0.9,SGD,0.5,0.1
